Image-Name,Human-Valence3,Human-Arousal3,Zero-Shot-Average-Valence-For-Image,Zero-Shot-Average-Arousal-For-Image,Zero-Shot-Average-Valence-For-Text,Zero-Shot-Average-Arousal-For-Text,Few-Shot-Average-Valence-For-Image,Few-Shot-Average-Arousal-For-Image,Few-Shot-Average-Valence-For-Text,Few-Shot-Average-Arousal-For-Text
A067,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
A068,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
A069,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
A070,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Neutral
A071,Negative,Stimulated,Negative,Calm,Negative,Calm,Negative,Neutral,Negative,Stimulated
A072,Negative,Stimulated,Negative,Calm,Negative,Calm,Negative,Neutral,Negative,Calm
A073,Negative,Stimulated,Negative,Stimulated,Negative,Neutral,Negative,Neutral,Negative,Stimulated
A074,Negative,Stimulated,Negative,Stimulated,Negative,Neutral,Negative,Stimulated,Neutral,Neutral
A075,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
A076,Negative,Stimulated,Negative,Stimulated,Negative,Neutral,Negative,Stimulated,Negative,Neutral
A077,Negative,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
A078,Negative,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Neutral,Neutral,Calm
A079,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
A080,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
A081,Negative,Neutral,Neutral,Calm,Positive,Calm,Neutral,Calm,Positive,Calm
A082,Negative,Stimulated,Negative,Calm,Negative,Neutral,Negative,Neutral,Negative,Neutral
A083,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
A084,Negative,Stimulated,Negative,Stimulated,Negative,Neutral,Negative,Stimulated,Negative,Neutral
A085,Negative,Stimulated,Negative,Stimulated,Negative,Neutral,Negative,Stimulated,Negative,Neutral
A086,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
A087,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
A088,Negative,Stimulated,Negative,Stimulated,Negative,Neutral,Neutral,Neutral,Negative,Neutral
A089,Negative,Stimulated,Negative,Stimulated,Negative,Neutral,Negative,Stimulated,Negative,Neutral
A090,Neutral,Neutral,Neutral,Calm,Negative,Neutral,Neutral,Calm,Neutral,Neutral
A091,Negative,Stimulated,Negative,Stimulated,Negative,Neutral,Negative,Stimulated,Neutral,Neutral
A092,Negative,Stimulated,Negative,Stimulated,Negative,Neutral,Negative,Stimulated,Negative,Neutral
A093,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Neutral,Negative,Neutral
A094,Neutral,Neutral,Neutral,Calm,Neutral,Stimulated,Neutral,Neutral,Neutral,Neutral
A095,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
A097,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
A098,Negative,Stimulated,Negative,Stimulated,Negative,Neutral,Negative,Stimulated,Negative,Neutral
A099,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Neutral
A100,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
A101,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
A102,Neutral,Neutral,Negative,Stimulated,Positive,Neutral,Negative,Stimulated,Positive,Neutral
A103,Negative,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
A104,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
A105,Negative,Neutral,Negative,Neutral,Neutral,Calm,Negative,Neutral,Neutral,Neutral
A106,Negative,Stimulated,Negative,Neutral,Negative,Stimulated,Negative,Neutral,Negative,Stimulated
A107,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Neutral
A108,Neutral,Stimulated,Negative,Stimulated,Neutral,Calm,Negative,Neutral,Neutral,Neutral
A109,Negative,Stimulated,Negative,Stimulated,Negative,Neutral,Negative,Stimulated,Negative,Neutral
A110,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
A111,Negative,Stimulated,Negative,Stimulated,Negative,Neutral,Negative,Neutral,Negative,Neutral
A112,Negative,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
A113,Negative,Stimulated,Negative,Neutral,Negative,Neutral,Neutral,Neutral,Negative,Neutral
A114,Negative,Stimulated,Negative,Stimulated,Negative,Neutral,Negative,Neutral,Neutral,Neutral
A115,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
A116,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
A117,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
A118,Negative,Stimulated,Negative,Stimulated,Negative,Calm,Negative,Stimulated,Negative,Neutral
A119,Negative,Stimulated,Negative,Calm,Negative,Stimulated,Negative,Stimulated,Negative,Neutral
A120,Negative,Stimulated,Negative,Calm,Negative,Neutral,Negative,Neutral,Negative,Stimulated
A121,Negative,Stimulated,Negative,Calm,Neutral,Calm,Negative,Neutral,Neutral,Calm
A122,Negative,Neutral,Negative,Stimulated,Negative,Neutral,Negative,Stimulated,Neutral,Neutral
A123,Negative,Stimulated,Negative,Stimulated,Neutral,Calm,Negative,Stimulated,Neutral,Neutral
A124,Neutral,Stimulated,Positive,Calm,Neutral,Calm,Positive,Calm,Neutral,Neutral
A125,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
A127,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
A128,Negative,Stimulated,Negative,Stimulated,Negative,Neutral,Negative,Stimulated,Negative,Neutral
A129,Negative,Neutral,Negative,Stimulated,Neutral,Calm,Neutral,Stimulated,Neutral,Neutral
A130,Negative,Stimulated,Neutral,Calm,Positive,Calm,Neutral,Calm,Positive,Calm
A131,Negative,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
H001,Neutral,Neutral,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
H002,Negative,Stimulated,Positive,Calm,Positive,Neutral,Neutral,Stimulated,Positive,Calm
H003,Negative,Stimulated,Negative,Stimulated,Neutral,Calm,Negative,Stimulated,Positive,Neutral
H005,Negative,Stimulated,Negative,Stimulated,Positive,Calm,Negative,Stimulated,Positive,Calm
H006,Negative,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
H007,Negative,Stimulated,Negative,Stimulated,Neutral,Stimulated,Negative,Stimulated,Neutral,Neutral
H008,Negative,Stimulated,Neutral,Calm,Positive,Neutral,Neutral,Calm,Positive,Neutral
H009,Neutral,Neutral,Neutral,Calm,Positive,Neutral,Neutral,Calm,Positive,Neutral
H010,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Neutral,Neutral,Calm
H011,Negative,Stimulated,Negative,Calm,Negative,Neutral,Negative,Calm,Negative,Neutral
H012,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Neutral,Neutral,Neutral
H013,Neutral,Stimulated,Positive,Stimulated,Positive,Stimulated,Positive,Stimulated,Positive,Stimulated
H014,Negative,Stimulated,Negative,Neutral,Negative,Neutral,Negative,Neutral,Neutral,Neutral
H015,Negative,Stimulated,Negative,Stimulated,Negative,Neutral,Negative,Stimulated,Negative,Neutral
H016,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
H017,Neutral,Neutral,Negative,Calm,Neutral,Calm,Neutral,Calm,Neutral,Neutral
H018,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Positive,Neutral
H019,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
H020,Neutral,Neutral,Positive,Stimulated,Positive,Neutral,Positive,Neutral,Positive,Neutral
H021,Neutral,Neutral,Neutral,Calm,Negative,Neutral,Neutral,Neutral,Neutral,Neutral
H022,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
H023,Neutral,Neutral,Positive,Neutral,Positive,Neutral,Neutral,Neutral,Positive,Neutral
H024,Negative,Neutral,Positive,Calm,Positive,Neutral,Positive,Calm,Positive,Neutral
H025,Neutral,Stimulated,Neutral,Calm,Positive,Calm,Neutral,Neutral,Positive,Calm
H026,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
H027,Neutral,Stimulated,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Neutral
H028,Negative,Stimulated,Negative,Stimulated,Negative,Neutral,Neutral,Neutral,Neutral,Neutral
H029,Negative,Neutral,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,Positive,Neutral
H030,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
H031,Negative,Stimulated,Negative,Calm,Negative,Calm,Negative,Calm,Negative,Neutral
H032,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
H033,Neutral,Stimulated,Neutral,Calm,Positive,Neutral,Neutral,Calm,Positive,Neutral
H034,Negative,Stimulated,Negative,Stimulated,Negative,Calm,Negative,Stimulated,Negative,Stimulated
H035,Negative,Stimulated,Negative,Neutral,Neutral,Calm,Neutral,Neutral,Neutral,Neutral
H036,Negative,Stimulated,Negative,Stimulated,Positive,Calm,Negative,Stimulated,Positive,Calm
H037,Negative,Stimulated,Negative,Calm,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
H038,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
H039,Negative,Stimulated,Negative,Stimulated,Neutral,Calm,Negative,Stimulated,Neutral,Neutral
H040,Neutral,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Neutral,Positive,Neutral
H041,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
H042,Neutral,Stimulated,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
H043,Negative,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Neutral
H044,Negative,Stimulated,Neutral,Calm,Negative,Neutral,Neutral,Calm,Negative,Neutral
H045,Neutral,Neutral,Positive,Calm,Positive,Neutral,Positive,Calm,Positive,Neutral
H047,Neutral,Neutral,Neutral,Calm,Positive,Stimulated,Neutral,Neutral,Positive,Neutral
H048,Negative,Stimulated,Negative,Calm,Negative,Neutral,Neutral,Neutral,Negative,Neutral
H049,Negative,Stimulated,Negative,Neutral,Negative,Stimulated,Negative,Neutral,Negative,Stimulated
H050,Neutral,Neutral,Neutral,Neutral,Positive,Stimulated,Neutral,Neutral,Positive,Stimulated
H051,Negative,Stimulated,Negative,Calm,Negative,Neutral,Negative,Calm,Negative,Neutral
H052,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Neutral,Neutral,Neutral
H053,Negative,Stimulated,Neutral,Calm,Negative,Neutral,Neutral,Neutral,Negative,Neutral
H054,Neutral,Neutral,Neutral,Calm,Negative,Neutral,Neutral,Neutral,Neutral,Neutral
H055,Negative,Stimulated,Neutral,Stimulated,Neutral,Stimulated,Neutral,Stimulated,Neutral,Neutral
H056,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
H057,Neutral,Stimulated,Positive,Calm,Positive,Neutral,Neutral,Calm,Positive,Neutral
H058,Neutral,Stimulated,Positive,Calm,Positive,Neutral,Neutral,Neutral,Positive,Neutral
H059,Negative,Neutral,Neutral,Calm,Positive,Calm,Neutral,Calm,Positive,Calm
H060,Neutral,Neutral,Neutral,Calm,Neutral,Neutral,Neutral,Neutral,Positive,Neutral
H061,Negative,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Neutral,Neutral,Neutral
H062,Negative,Stimulated,Negative,Calm,Neutral,Calm,Negative,Neutral,Neutral,Neutral
H063,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
H064,Negative,Stimulated,Negative,Stimulated,Neutral,Stimulated,Negative,Stimulated,Neutral,Stimulated
H065,Negative,Stimulated,Neutral,Calm,Neutral,Stimulated,Neutral,Calm,Neutral,Neutral
H066,Negative,Stimulated,Negative,Calm,Neutral,Calm,Negative,Neutral,Neutral,Calm
H074,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
H076,Negative,Stimulated,Neutral,Stimulated,Neutral,Calm,Neutral,Stimulated,Neutral,Neutral
H077,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
H078,Negative,Stimulated,Negative,Calm,Negative,Calm,Negative,Neutral,Negative,Neutral
H079,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
H080,Negative,Stimulated,Neutral,Neutral,Neutral,Stimulated,Neutral,Neutral,Positive,Neutral
H081,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
H082,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
H083,Negative,Stimulated,Neutral,Calm,Positive,Calm,Neutral,Neutral,Positive,Calm
H084,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
H085,Neutral,Neutral,Negative,Stimulated,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
H086,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Calm,Neutral,Neutral
H087,Negative,Stimulated,Neutral,Calm,Positive,Calm,Neutral,Calm,Positive,Calm
H088,Negative,Stimulated,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Neutral
H089,Neutral,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Neutral
H090,Neutral,Neutral,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Neutral
H091,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
H092,Negative,Stimulated,Negative,Calm,Negative,Neutral,Negative,Stimulated,Negative,Neutral
H093,Negative,Stimulated,Negative,Calm,Neutral,Calm,Negative,Neutral,Neutral,Calm
H094,Neutral,Stimulated,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,Positive,Neutral
H095,Negative,Neutral,Negative,Stimulated,Neutral,Neutral,Negative,Stimulated,Neutral,Neutral
H097,Negative,Stimulated,Negative,Stimulated,Neutral,Neutral,Negative,Stimulated,Neutral,Neutral
H098,Negative,Stimulated,Negative,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
H099,Negative,Stimulated,Negative,Calm,Negative,Calm,Negative,Calm,Negative,Neutral
H100,Negative,Stimulated,Negative,Calm,Negative,Calm,Negative,Stimulated,Negative,Neutral
H101,Negative,Stimulated,Negative,Calm,Neutral,Calm,Negative,Neutral,Neutral,Calm
H102,Negative,Stimulated,Negative,Calm,Negative,Stimulated,Negative,Calm,Negative,Stimulated
H103,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Neutral,Neutral,Calm
H104,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
H105,Negative,Stimulated,Negative,Calm,Negative,Neutral,Negative,Neutral,Negative,Neutral
H106,Negative,Neutral,Negative,Calm,Neutral,Calm,Neutral,Neutral,Neutral,Neutral
H107,Negative,Stimulated,Negative,Calm,Negative,Neutral,Negative,Neutral,Negative,Neutral
H108,Negative,Stimulated,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Neutral
H109,Neutral,Stimulated,Positive,Neutral,Positive,Neutral,Positive,Calm,Positive,Neutral
H110,Neutral,Stimulated,Negative,Calm,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
H112,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
H122,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
H123,Negative,Stimulated,Negative,Calm,Negative,Stimulated,Negative,Stimulated,Negative,Neutral
H124,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
H125,Negative,Stimulated,Negative,Stimulated,Positive,Stimulated,Negative,Stimulated,Positive,Stimulated
H126,Negative,Stimulated,Negative,Stimulated,Negative,Neutral,Negative,Neutral,Negative,Neutral
N001,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N002,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N003,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N004,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N006,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Neutral
N008,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Neutral
N009,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N010,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N011,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N013,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Neutral
N014,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N015,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N016,Neutral,Neutral,Neutral,Calm,Positive,Calm,Neutral,Calm,Positive,Calm
N017,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N018,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N019,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Neutral
N020,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Neutral
N021,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Neutral
N022,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Neutral
N023,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Neutral
N024,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N025,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Neutral
N026,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Neutral
N027,Neutral,Neutral,Neutral,Calm,Positive,Calm,Neutral,Calm,Positive,Calm
N028,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N030,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N031,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N032,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Neutral
N033,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N034,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N035,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N036,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N037,Neutral,Calm,Neutral,Calm,Positive,Calm,Neutral,Calm,Positive,Calm
N038,Neutral,Neutral,Neutral,Calm,Positive,Calm,Neutral,Calm,Neutral,Calm
N039,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Neutral
N040,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N041,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N042,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N043,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N044,Neutral,Neutral,Neutral,Calm,Neutral,Neutral,Neutral,Calm,Neutral,Neutral
N045,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
