Image Name,Valence,Arousal,ChatGPT Description,Likert_Valence,Likert_Arousal
A013,2.116,71.199,This image depicts a scene where numerous deer have been laid out in a forest clearing. It appears to be a hunting scenario or a game culling scene. There are some people possibly hunters or wildlife managers observed in the background. A small shed trees and a faint smoke from a fire further enhance the outdoor natural setting of the image. This sort of activity typically relates to wildlife management hunting traditions or culling for population control.,Negative,Stimulated
A014,13.449,68.205,This image shows four people in a room likely a workshop or utility space. Three of them are standing by a table where two carcasses possibly of deer are hung and appear to be prepared for processing. The individuals seem to be involved in activities associated with meat processing like skinning or butchering. Various items like a plastic basin gloves and other tools that might be used in meat preparation can be seen on the table and around the room. The room has wooden paneling and there are shelves with various items in the background suggesting a well-used work area.,Negative,Stimulated
A015,25.292,49.524,This image features a man and a brown dog sitting near a large stag with noticeable antlers which is lying on the ground among some rocks in a lush green woodland area. The man wearing a cap and a plaid shirt is smiling and holding up the antlers of the stag. The surrounding area appears to be a rocky forested environment suggesting this might be in a wild or mountainous region.,Negative,Stimulated
A016,26.328,54.657,The image shows a dead antelope with long spiraled horns lying in a dry bushy landscape. It appears to be a hot arid environment typical of savannah or scrubland. The antelope seems to have been killed as evidenced by what looks like a wound on its side. The surrounding vegetation is sparse with small trees and shrubs scattered around the area.,Negative,Stimulated
A017,19.328,61.913,The image shows a man standing next to a muskox that has been hunted and is lying on the ground. The man is holding a rifle and there is grassy rocky terrain in the background suggesting a wild or remote area. The man appears to have been involved in a hunting expedition.,Negative,Stimulated
A018,2.951,80.254,The image shows a scene outdoors with six dead animals laid out on the ground in front of a parked vehicle. Based on their size and coloring the animals appear to be three deer in varying sizes possibly a boar and a fox. There is a person only partially visible in the left of the image standing near the animals. The location appears to be a grassy area outside possibly a yard.,Negative,Stimulated
A019,31.632,37.72,The image shows two men dressed in outdoor gear sitting beside the body of a dead deer in a grassy mountainous terrain. One man is holding a rifle. Both men are smiling and appear to have been engaged in a hunting activity. Their clothes and hats are typical for hunters and the backpack on the ground suggests they might have hiked to this location. The scenery around them includes dry grass which might indicate the season is either late fall or early spring.,Negative,Neutral
A020,43.921,54.832,This image features a white reindeer lying on a field with shrubs in the foreground. The reindeer has large impressive antlers. In the background you can see a landscape of grassy hills and a water body likely a lake under a blue sky with scattered clouds. The setting appears to be in a serene natural environment possibly in a high-latitude region known for its reindeer population.,Neutral,Stimulated
A021,11.466,73.033,This image shows a person sitting outdoors in a crouched position holding a shotgun across their thighs. In front of the person there is a group of birds laid out on the ground suggesting that the person has been hunting. The attire of the person including camouflaged jacket and green pants along with a cap aligns with typical hunting gear. The environment appears to be an open field with some grass or straw on the ground.,Negative,Stimulated
A022,24.95,53.276,The image shows a hunting scene with several items laid on the ground covered with autumn leaves. There are two pheasants and some smaller birds which appear to be from game hunting. Additionally there is a fish lying beside the birds. There are also two shotguns and a fishing rod. This setup indicates that the image was taken during or post a hunting and fishing trip.,Negative,Stimulated
A023,39.657,66.628,The image shows a person in camouflage clothing standing in a snowy field next to a large canine animal which appears to be a coyote that is lying on the ground. The setting suggests a hunting or wildlife management situation.,Negative,Stimulated
A024,42.079,47.688,The image shows a man smiling at the camera sitting on the grass next to a large wild boar. The setting appears to be in a hilly grassy outdoor area possibly after a hunting trip given the context of the photo with the wild boar. The sky is partly cloudy and the scenery suggests a wild natural landscape possibly in a rural or wilderness area.,Neutral,Stimulated
A025,12.698,70.391,The image shows an outdoor scene with a dead wild boar in the foreground. There is a dog appearing to be a Pit Bull or similar breed smiling and positioned in the background behind the boar. Next to the dog you can see a person seated on the ground though most of their face is obscured. The setting appears to be a wooded area.,Negative,Stimulated
A026,31.85,49.613,The image shows a close-up of a deer with noticeable antlers. The deer appears to be held or posed by people in the background where you can see hands and parts of their camouflage clothing. The deer is lying on the ground among fallen leaves typically suggesting an outdoor natural setting. The overall context seems to suggest a hunting scenario where the hunters are displaying their catch.,Negative,Stimulated
A027,14.332,59.137,The image shows a deceased moose lying in a grassy field. The surrounding area is lush with green grass and various plants indicating a natural wild environment. There is no visible indication of injury or cause of death from the angle provided.,Negative,Stimulated
A028,25.728,52.844,This image shows a man holding the antlers of a large elk that he likely hunted. The man is dressed in camouflage attire suitable for hunting. Next to him is a dog which appears to be a German Shepherd. The man and the dog are in a grassy field with trees in the background that suggest a wild or rural setting. The man is also holding a bow indicating that the elk was likely taken with archery equipment. The scene is in daylight with clear visibility.,Negative,Stimulated
A029,17.556,73.501,The image shows a man squatting next to a large bear that appears to be deceased. The man is smiling at the camera and seems to be posing with the bear in a grassy field. The background features a natural environment largely consisting of green grass with some flowering plants.,Negative,Stimulated
A030,3.492,74.032,The image depicts a person holding the antlers of a large deer that has been hunted as evidenced by the visible blood. The person is face is not shown; only their torso and legs are visible. They are dressed in a camouflage jacket and green pants. The backdrop includes green trees and grass under a clear sky suggesting the setting is in a wild or rural area.,Negative,Stimulated
A031,47.866,28.412,The image shows a man kneeling in a field beside a deer. The man is holding a deer antler in one hand suggesting that he may have been involved in a hunting activity. The setting appears to be a grassy field with trees in the background typical of a rural or wilderness area. The man is wearing a white t-shirt and jeans and it seems to be a sunny day given the bright lighting and clear sky.,Neutral,Neutral
A032,22.335,65.62,The image features a man standing outdoors next to a very large black dog. The dog is standing on its hind legs towering over the man who is wearing a camouflage jacket and a baseball cap. The setting appears to be a grassy area with trees in the background and it looks like a cool or damp day judging by their attire and the wetness on the dog is fur. The timestamp in the image indicates that it was taken at 15:00 possibly on May (05.20).,Negative,Stimulated
A033,11.406,75.875,This image shows a person holding up the antlers of a large deer that is lying in the back of a pickup truck. The deer has some green twine wrapped around its head likely used for securing it during transportation. The deer is body is covered in mud indicating it may have been retrieved from a muddy area. The surroundings include various items like coolers and other storage containers suggesting preparations for an outdoor or hunting trip. The person is wearing camouflage attire typical of hunting activities.,Negative,Stimulated
A034,14.541,63.938,The image shows a man in camouflage clothes sitting behind a black bear. The man appears to have been hunting as he is posing with a compound bow rested on the bear. The setting is a green wooded area suggesting that the photo was taken in a natural outdoor environment. The man is looking at the camera and wearing a baseball cap.,Negative,Stimulated
A035,15.219,66.286,The image shows a man standing beside a large bison that appears to have been hunted. The man is wearing a bright orange vest and a hat which is a typical safety gear for hunting. Beside the bison there is a rifle propped up further suggesting that this scene is after a hunting event. The setting looks like a dry grassland area. This scene may be associated with regulated hunting activities which are sometimes permitted for species management or conservation efforts.,Negative,Stimulated
A036,10.099,69.008,This image shows three deer with antlers lying in the bed of a pickup truck. The setting suggests that these deer may have been hunted as they are being transported in the vehicle. There is also a grassy area with a few trees visible in the background which looks like a rural or suburban setting.,Negative,Stimulated
A037,9.59,71.531,The image shows a man in an orange jacket kneeling beside a large deer in a wooded area. The man is holding a rifle and smiling at the camera. The deer appears to be a trophy animal possibly a buck with a noticeable set of antlers. The setting suggests this might have been taken during a hunting trip.,Negative,Stimulated
A038,7.107,77.493,The image shows a person with a hunting rifle holding the antlers of a large deer lying on the ground. The individual is wearing a red vest checkered shirt and blue jeans. The setting appears to be a woodland area during autumn as suggested by the fallen leaves and bare trees in the background. This scene likely represents a hunting activity.,Negative,Stimulated
A039,46.592,50.394,The image shows a white lion looking directly at the camera with its face partially framed by black bars suggesting that it is inside a cage. The lion is eyes appear calm and its natural pale coloration is distinct with lighter fur compared to the typical golden color seen in most lions.,Neutral,Stimulated
A040,13.283,63.131,The image shows a white rabbit wearing a plastic cone (commonly known as an Elizabethan collar or E-collar) around its neck typically used to prevent animals from licking or biting their injuries or surgical sites. The rabbit also appears to have bandaging on parts of its body suggesting it might have undergone surgery or is being treated for an injury. The environment looks clinical possibly a veterinary setting. There are some minor elements in the background like a bottle and metallic balls possibly related to the medical or surgical care the rabbit is receiving.,Negative,Stimulated
A041,1.354,83.041,This image shows a monkey confined in what appears to be a restraint device possibly in a research or testing environment. The monkey seems to be in distress as evidenced by its body language and the stressed posture. The setting includes various mechanical elements that suggest the monkey is secured in a way that limits its movement significantly.,Negative,Stimulated
A042,15.551,66.332,The image depicts a young horse or foal lying on grass. The foal appears to be resting or sleeping. Its most distinctive feature is the reddish coloring on one of its legs which is not typical and may suggest an injury or abnormality. The rest of the foal is body is primarily light brown with white patches on its face. The background is a simple grassy area with no notable objects.,Negative,Stimulated
A043,26.463,45.946,This image shows three individuals wearing blue uniforms in a livestock pen likely engaged in handling or managing pigs. They are surrounded by several pigs in what appears to be an indoor farm setting. Two of the individuals are facing away from the camera and the third person is partially visible on the left edge of the image. The setting includes metal fencing commonly used in livestock management.,Negative,Stimulated
A044,27.904,59.438,The image shows a group of pigs in a confined feeding area possibly within an industrial pig farm. The pigs are near several large feeders which distribute feed automatically suggesting a systematic approach to livestock feeding designed for efficiency. The setup of the pens and the presence of metal fencing are typical of intensive pig farming environments aimed at maximizing space usage while accommodating a large number of animals.,Negative,Stimulated
A045,39.516,34.829,This image shows a sheep farming facility with several sheep contained in holding pens. There are two individuals who appear to be attending to the sheep presumably farm workers. The setting includes a feeder system along one side and the overall scene suggests they are likely managing or caring for the livestock. The building appears to be a typical barn or livestock house with a practical layout designed for easy access to the animals for feeding and health management.,Negative,Neutral
A047,14.422,64.758,The image depicts an indoor facility possibly a farming operation for birds likely chickens housed in individual cages aligned in long rows. The cages are placed on either side of a narrow central pathway. The facility has artificial lighting and some hanging facilities perhaps for feeding or watering the birds. The environment appears strictly functional designed primarily for efficiency in managing and caring for a large number of birds.,Negative,Stimulated
A048,20.067,67.133,This image shows an individual (whose face isn’t visible) wearing an apron with a reaction diagram on it and handling white pigeons. The pigeons are being removed or placed in stacked wire cages that seem to be housing multiple other birds. The setting appears informal possibly at a bird or pet market.,Negative,Stimulated
A049,20.805,63.986,This image shows a sow (adult pig) in a farrowing crate with several piglets around her. The crate is designed to restrict the sow’s movement primarily to prevent her from accidentally crushing the newborn piglets. The piglets can move freely around the sow within the pen which is constructed with metal bars and a floor that appears to be slatted for waste management. The setting indicates a commercial farming environment.,Negative,Stimulated
A050,17.095,74.867,In the image there are a few people wearing gloves handling a bird that appears to be a duck. The bird is on its back and the people is hands are holding it possibly conducting some type of examination or care as their gloves suggest a controlled and clean environment likely for veterinary or research purposes.,Negative,Stimulated
A051,10.249,51.488,The image shows a series of pigs confined in individual metal cages or stalls likely within a commercial pig farming facility. The facility is designed to house each pig separately in a controlled environment which is a common practice in intensive animal farming operations. The setup allows for efficient feeding and management of the animals but is often criticized for ethical reasons relating to the welfare of the pigs. The environment appears to be indoors and utilitarian focusing solely on functionality.,Negative,Stimulated
A052,33.874,45.797,In the image there is a Labrador Retriever sitting in a field of tall dry grass. Beside the dog there is a black shotgun leaning against a wooden fence post. Hanging from the barbed wire of the fence are several birds which appear to be pheasants likely a display of hunted game. The background features a vast open landscape under a clear sky which suggests this photo might have been taken in a rural or wilderness area during a hunting trip.,Negative,Stimulated
A053,43.374,42.124,The image shows a group of pigs behind a barbed wire fence. The pigs are in a feeding area and the background features a blurry green landscape suggesting that this might be a rural or farm setting. The barbed wire indicates that the area is secured or restricted.,Neutral,Neutral
A054,31.094,65.351,This image features a seal on a sandy area possibly a beach restrained by a net with tubes possibly for tranquilization or medical purposes. A person is hands can be seen attaching or adjusting a device on top of the seal is head likely some kind of tracking or monitoring equipment. The setting appears to be an outdoor environment judging by the visible seashore and overcast sky. The image suggests a wildlife research or conservation activity in progress.,Negative,Stimulated
A055,9.603,78.258,This image depicts a distressing scene where pigs are being thrown into a pit from a truck. Several individuals around and on the truck are involved in this process. They appear to be wearing protective clothing such as suits masks and gloves which suggests that this could be a culling operation possibly in response to a disease outbreak among livestock. The environment looks muddy and the scene overall conveys a sense of urgency and grim task.,Negative,Stimulated
A056,17.083,59.645,The image shows several white rabbits inside a rusty metal cage. The cage is in what looks like a tiled room and there are a few loose bricks and rocks at the base of the cage possibly to stabilize it. Nearby there’s a blue broom and a green handled tool leaning against the wall. On the floor you can also see some green vegetable scraps likely food for the rabbits. The overall setting appears somewhat disorganized and not very well maintained.,Negative,Stimulated
A057,14.193,52.694,This image shows a goose with a prosthetic leg. The prosthetic device is attached to the goose is remaining leg portion providing support and mobility. The photo captures the prosthetic system that includes a metal rod and a foot-like end which aids the goose in standing and walking on a round black surface presumably for stability or exercise.,Negative,Stimulated
A058,23.977,62.866,This image shows a group of people with a sedated or tranquilized deer lying on the ground. The deer has various straps and collars attached to it likely for monitoring or research purposes. One person is adjusting a collar around the deer’s neck and another person is handling its hind leg. The people are wearing gloves and rugged outdoor clothing. The setting appears to be an open gravelly area outdoors possibly a wildlife research or conservation site. The equipment and attire suggest that these individuals might be wildlife biologists or researchers conducting a field operation involving the tracking and study of deer.,Negative,Stimulated
A059,49.51,48.027,This image shows a green sea turtle lying on a counter. The turtle has a dark mottled shell and flipper-like limbs characteristics typical of marine turtles. The setting appears to be indoors possibly a facility for veterinary care or research as indicated by the clinical or controlled environment.,Neutral,Stimulated
A060,31.445,58.323,The image shows a white cat with a fluffy tail and pale eyes sitting on a tiled floor which appears to be in a caged or enclosed area possibly in a shelter or veterinarian’s office. The background includes a metal cage door suggesting the space is designed to contain pets safely. The cat has an attentive gaze and a calm posture.,Negative,Stimulated
A061,21.038,41.819,This image shows a group of geese in a cage likely in a farming or industrial setting. They appear to be wet or damp possibly due to water nearby or conditions within the cage. The cage has a metal grid floor and walls and there is a red pipe system above which could be part of a feeding or watering system. The environment suggests that they are kept for agricultural purposes.,Negative,Neutral
A062,13.92,67.251,The image shows a dog behind a metal grid likely confined or caged. The dog has a thick curly fur coat with a predominantly gray color and patches of white. It appears to be looking directly at the camera with a focused and possibly anxious expression. The rust and wear on the metal grid suggest that the cage is quite old or not well-maintained.,Negative,Stimulated
A063,32.471,48.632,The image features an enclosure made of metal grills and mesh possibly a cattery or a place for keeping cats safely outdoors. Inside there are two cats visible—one with white and light brown patches and the other primarily white. There are also several chairs and at least one table inside the enclosure suggesting a space for cats to climb on and possibly for people to sit and interact with the cats. The enclosure is surrounded by a metal fence with some type of low green wiring at the bottom most likely for added security or to keep smaller animals out or in.,Negative,Stimulated
A064,34.857,61.277,The image shows a dog resting inside a paper bag which is partially placed on a metal cart. The dog appears to be a tan and brown short-haired breed possibly a hound or a beagle. The surroundings look a bit industrial or utilitarian possibly a garage or workshop as indicated by the metallic objects and structures visible in the background. The brown paper bag contains other items but the dog is the most prominent feature in the image.,Negative,Stimulated
A067,24.387,56.758,The image shows two large wild boars one dark and one with a lighter brown color secured on a makeshift structure attached to the back of a pickup truck. There are three men in the background one is observing and the other two are engaged in a discussion. The environment suggests that this could be a scene from a hunting trip where the hunters have successfully harvested these boars. The setting includes a metal gate and urban-style buildings indicating the scene is near a populated area or a town.,Negative,Stimulated
A068,11.99,71.169,This image shows a black and white dog barking at a large wild boar carcass inside a utility area like a garage or shed. The dog appears to be wary or cautious around the boar. The surrounding area is filled with various items including tools and storage containers suggesting it is a working or storage area.,Negative,Stimulated
A069,15.834,63.027,This image shows a collection of pig carcasses piled in a concrete enclosure with some in a metal container and others scattered around it. In the background there are large structures resembling agricultural buildings possibly barns or warehouses under a clear sky. This scene likely depicts an aspect of waste management or disposal at a livestock facility.,Negative,Stimulated
A070,15.536,66.856,The image depicts a red pickup truck with a load of deer carcasses in the truck bed. The truck has decals or logos on the side including a coat of arms and a phone number. The setting appears to be a snowy street suggesting that this might be from a hunting activity taking place during the colder months. There is a building to the right with the number 2 on its entryway and festive decor such as a wreath is visible indicating it may be near the holiday season.,Negative,Stimulated
A071,5.957,68.24,The image shows the remains of a deceased animal lying on grass. The condition indicates advanced decomposition and the fur and body structure suggest it might be a large mammal possibly a deer or similar animal. The setting appears to be a natural outdoor area with tall grass surrounding the remains.,Negative,Stimulated
A072,24.545,62.188,The image shows a dead antelope lying on the ground among some sparse vegetation and dry leaves with a few bare trees or bushes around it. The antelope appears to be a pronghorn recognizable by its body shape and the markings on its face.,Negative,Stimulated
A073,11.092,63.592,This image shows a group of chickens housed in a multi-tiered caged system typically seen in industrial or large-scale poultry farming. The chickens are crowded in cages and you can see the tiers extend into the background of the photo indicating a dense population of birds. This type of housing is often used to maximize space efficiency and manage large numbers of birds but it has also been a subject of discussion and criticism regarding animal welfare.,Negative,Stimulated
A074,18.235,61.251,The image shows a large group of ducklings densely packed in what appears to be an industrial farming environment. The ducklings are yellow and fluffy suggesting they are quite young. Metal structures possibly feeding or watering equipment are visible above the crowded floor where the ducklings are gathered.,Negative,Stimulated
A075,0.414,89.04,This image depicts a distressing and graphic scene of cows in a slaughterhouse. The photo is likely intended to raise awareness about conditions in such facilities and the process by which meat is produced. The cows appear to be restrained and are in a state that suggests they are being processed for meat. This kind of imagery is often used in discussions about animal welfare and rights.,Negative,Stimulated
A076,18.368,60.1,The image appears to show a row of plucked chickens hanging by their feet in what looks like a preparation area possibly in a butcher is shop or a food processing facility. The chickens are attached to metal hooks which are part of a rail system typically used for efficiently moving and handling carcasses in a meat processing setup. This type of setup is common in places where meat is prepared and processed for culinary use.,Negative,Stimulated
A077,17.551,48.588,This image shows metal grates over what appears to be a grain or feed conveyor system typically used in agricultural or industrial settings. The grates likely serve as a safety feature to prevent large objects or debris from entering the system while allowing the grain or material below to be transported. The hint of yellow through the gaps suggests the material being conveyed might be some type of grain. The overall setting appears functional emphasizing utility over aesthetics with visible rust and wear indicating outdoor or heavy use.,Negative,Stimulated
A078,37.075,40.249,The image shows a group of cows inside a barn or dairy farm. They are confined within a stable area with metal barriers. The setting seems to be designed for dairy farming or possibly some other sort of livestock management. The environment appears to be indoors with a structure that includes wooden beams and separate pens for the animals.,Negative,Neutral
A079,7.469,70.881,This image shows several chickens in poor condition likely in a confined space possibly part of an industrial or factory farming setup. Some of the chickens have lost a lot of feathers and appear unhealthy or distressed indicative of harsh living conditions. This type of imagery is often used to highlight issues related to animal welfare in agricultural settings.,Negative,Stimulated
A080,45.656,38.796,This image shows a person standing outside of a building surrounded by several ducks. The area is partially shaded and constructed with wire mesh fencing on the ground and walls that contain the ducks. There are a few plastic buckets and a blue barrel possibly for feeding or watering the ducks. The building has a door and red window shutters. The surroundings suggest a domestic or small-scale farm setting.,Neutral,Neutral
A081,28.797,40.305,The image shows three sheep inside a barn or enclosure. They are peeking their heads through vertical metal bars likely out of curiosity or in anticipation of being fed. The setting includes straw bedding on the floor which is common in livestock housing for comfort and cleanliness. The sheep appear to be well cared for and the environment is typical for a farm or agricultural setting.,Negative,Neutral
A082,34.795,54.998,The image shows a group of donkeys inside a confined area possibly a cage or pen. They are behind metal bars and the ground is covered with straw. It appears to be nighttime or in a dimly lit environment. There are at least four donkeys visible and they seem to be seeking attention or looking out from the bars toward the viewer.,Negative,Stimulated
A084,21.07,63.252,This image shows chicken carcasses hanging from a machine likely used in a processing plant. The machine seems to be designed for automated handling or processing of the chickens in a food production environment perhaps for tasks like cleaning cutting or inspection. The setting is industrial characterized by metal mechanisms and a lack of human presence in the visible frame.,Negative,Stimulated
A085,18.306,51.204,This image shows the interior of a large industrial poultry farm specifically a battery cage system used for raising chickens. The picture reveals multiple layers of cages each populated with hens. The setting suggests intensive farming methods where chickens are kept in confined spaces to maximize space efficiency a common practice in large-scale egg production facilities. Each cage row has a feeding and watering system. The environment appears to be indoors and artificially lit typical for such facilities to control lights artificially to maximize egg production.,Negative,Stimulated
A086,28.049,55.313,This image shows several chickens hanging upside down from hooks likely in a processing plant. The chickens have been defeathered and appear to be in the preparation stage before being processed further for food.,Negative,Stimulated
A087,16.036,63.062,This image shows a series of cages stacked on multiple levels containing numerous pigs. The facility appears to be an industrial or intensive pig farming operation possibly a confinement building where pigs are housed for breeding or fattening. The environment looks strictly utilitarian with metal cages concrete and steel structures emphasizing functional aspects over comfort or welfare.,Negative,Stimulated
A088,29.996,59.618,This image shows the interior of a large industrial chicken farm. There are numerous rows of chickens densely packed in cages. The environment is illuminated with yellowish artificial lighting and the setting suggests large scale poultry production. The overall setup is designed for maximizing the number of chickens that can be raised in the available space.,Negative,Stimulated
A089,3.07,83.622,The image shows a pig lying on its side on a metal table in what appears to be a butcher shop. The surroundings suggest a processing environment with equipment like weights and hooks visible likely used for meat handling or preparation. The pig is body is intact and there are no visible signs of butchering on the visible side. This setting is typical for preparing meat products in a commercial or food industry context.,Negative,Stimulated
A090,40.316,44.198,The image features a sow (a mother pig) in a farrowing crate surrounded by several piglets. The sow is lying down and the piglets are either nursing or moving around her. The setting appears to be indoors possibly within a pig farming facility equipped with metal barriers and flooring designed for livestock rearing.,Neutral,Neutral
A091,10.828,75.485,This image shows a pig inside a facility likely a farm or veterinary area based on the tiled walls and flooring. The pig has a device around its head which might be used for stabilization or for a specific treatment or procedure. The pig is face has dirt or markings and it has an ear tag possibly indicating identification or registration details.,Negative,Stimulated
A092,23.414,54.615,The image shows several white chickens confined in a small cage. The chickens have distinctive red combs and wattles. The environment suggests this might be an industrial or farm setting where chickens are raised in close quarters typical of intensive poultry farming practices. The cage bars are visible and the surroundings appear indoor and utilitarian.,Negative,Stimulated
A093,9.178,57.255,This image shows a battery cage system used for housing laying hens. The cages are stacked in multiple tiers and each contains several hens. These systems are common in large-scale egg production facilities and are often criticized for the welfare issues they pose to the hens such as limited movement social stress and other health problems.,Negative,Stimulated
A094,43.176,36.831,The image shows an indoor fish market. At the forefront is a man likely a vendor standing next to a table topped with various types of fish some of which are cut open. Behind him are tanks with live seafood and other market staff engaging with customers or handling products. The place has an active bustling ambiance indicative of a typical seafood market environment where live and fresh seafood is sold. There are visible signs with Asian characters suggesting that this market could be located in an Asian country.,Neutral,Neutral
A095,6.366,74.934,The image shows two butchered animals on a blood-stained surface likely a slaughterhouse or butchery setting. The animals appear to be sheep based on their size and remnants of their wool. They have been skinned and prepared showing the reality of meat processing.,Negative,Stimulated
A097,8.238,74.02,The image depicts a scene from a rabbit processing facility. Workers in protective clothing and headgear are handling the carcasses of rabbits which are hanging from hooks on a conveyor system. The facility appears to be set up for the mass processing of the animals with various tools and infrastructure visible for efficient handling and processing. The focus is on the industrial aspect of meat production.,Negative,Stimulated
A098,17.543,58.951,This image shows the interior of a meat processing facility. Workers dressed in white protective clothing including helmets and boots are handling and processing large sections of meat hanging from hooks. The facility appears to be very clean and is equipped with industrial conduit and metal structures possibly used for moving and processing the meat. There is sophisticated machinery present indicating a modern and possibly high-volume operation.,Negative,Stimulated
A099,10.28,67.766,The image appears to show a poultry processing line. You can see several chickens hanging upside down from metal hooks which is a common method used in the processing industry for slaughtering and preparing chickens for food production. The chickens are positioned in a row likely moving along a conveyor system during one of the stages of processing.,Negative,Stimulated
A100,1.723,82.476,The image shows an outdoor scene where a man is butchering a large animal carcass which appears to be that of a cow. The carcass is laid out on the ground and the man is using a tool possibly a knife to cut into the meat. There is a bicycle visible in the background implying the location could be a rural or semi-rural area. The setting and activity suggest that this may be a common practice in the region for preparing meat.,Negative,Stimulated
A101,13.144,69.883,This image shows a number of chickens being processed in a poultry processing plant. They are hanging upside down and appear to be going through a stage of cleaning or preparation possibly being rinsed or defeathered. The chickens are featherless indicating that they have already undergone plucking. This is a common practice in the preparation of chickens for food.,Negative,Stimulated
A102,44.106,40.174,In the image there are two men outdoors and they are interacting with a sheep that is lying on its back on the grass. One man is sitting and watching while the other wearing a hat is actively doing something with the sheep is hoof possibly trimming or examining it. Both men appear engaged in the activity. The setting looks rural with visible greenery and a tree nearby.,Neutral,Neutral
A103,11.693,56.407,This image shows a group of sheep lying close together. Their wool appears dirty or muddy suggesting they might be in a rugged or outdoor environment. Some sheep have visible ear tags which are typically used for identification and tracking purposes in livestock management. The sheep look calm and are resting possibly huddling together for warmth or protection.,Negative,Stimulated
A104,10.215,63.457,This image shows a wild boar that appears to be dead lying on a snowy and blood-stained ground. The setting suggests it might have been hunted given the condition of the surroundings and the boar itself.,Negative,Stimulated
A105,30.428,43.906,The image depicts an indoor livestock facility most likely a dairy barn where cows are kept in individual pens. The overall setting suggests a large-scale agricultural operation focused on either milk production or possibly beef. There are numerous cows visible some standing and others lying down within a structured environment of metal fencing and concrete flooring. The interior includes an overhead structure indicating it is a covered facility which helps in controlling elements such as light and temperature.,Negative,Neutral
A106,12.73,70.549,The image shows a group of seven people and a dog standing behind a large group of birds laid out on the ground likely after a hunting trip. The location appears to be a grassy field with a panoramic view of mountains in the background. The individuals a mix of men seem dressed in casual outdoor wear suitable for hunting or similar outdoor activities. The birds appear to be waterfowl possibly ducks or geese.,Negative,Stimulated
A107,25.357,50.77,The image shows a meat processing facility where large pieces of animal carcasses (likely cattle) are hanging from a rail system. There are multiple rows of these hanging carcasses which are in various stages of butchering. In the background there are two individuals wearing white coats and hats typically worn in the food processing industry presumably inspecting the meat or discussing the process. The facility appears to be equipped with industrial materials and lighting suitable for meat handling and processing.,Negative,Stimulated
