Image-Name,Zero-Shot-Average-Valence-For-Image,Zero-Shot-Average-Arousal-For-Image,Zero-Shot-Average-Valence-For-Text,Zero-Shot-Average-Arousal-For-Text,Few-Shot-Average-Valence-For-Image,Few-Shot-Average-Arousal-For-Image,Few-Shot-Average-Valence-For-Text,Few-Shot-Average-Arousal-For-Text
H033,40.2,44.6,65.6,40,44.8,48,70.686,43.083
H034,11,71,25,60,22.028,72.035,31.477,62.195
H035,33.5,40,64,40,42.021,50.287,62.075,37.126
H036,26,55.5,74,38,33.519,57.576,78.78,30.85
H037,15,52.5,34,64,18.368,66.251,34.325,68.459
H038,10,72,14.5,72.5,15.303,70.773,18.018,69.659
H039,20.7,62.5,63,40,25.14,58.528,63.471,34.28
H040,38.5,41.5,65,40,44.096,51.25,68.75,41.257
H041,30,65.5,24,63,38.561,60.635,25.524,56.276
H042,72.2,31.8,85,32,80.26,20.072,86.93,28.514
H043,42.5,42.5,45,37,43.017,46.162,57.988,35.968
H044,41.7,31.9,24,60,43.1,43.4,25.076,56.683
H045,66.2,43.5,73,40,67.7,34.5,79.296,35.124
H047,50.3,39,69.4,55,58.5,37,69.992,54.756
H048,31.5,41,26,51,38.455,38.24,25.043,55.573
H049,32.846,41.079,22,61,41,46,25.874,57.143
H050,44.5,50,69.2,53,51,35,71.617,53.082
H051,32.8,41.5,27,41,35.183,45.23,32.517,53.093
H052,42.5,34,65.6,41,43.484,32.516,64.543,39.89
H053,36.333,37.889,34,54,42.449,41.752,34.824,58.241
H054,40.9,37.5,35,41,48.486,41.537,40.324,41.153
H055,35,62.5,40,60,39.308,52.698,42.571,57.826
H056,33.9,41.1,27,60,34.452,56.986,35.742,62.053
H057,52.65,36.5,74.6,39,49.016,38.104,76.622,34.271
H058,62,41,70.4,41,64.104,30.759,71.615,44.388
H059,47.5,35.5,65,37,54.2,29,64.228,31.022
H060,47.6,42.3,65,40,58.364,38.032,67.056,38.231
H061,44.1,35.5,65,40,50.641,39.012,66.251,38.543
H062,24.1,44,40,30,30.32,56.4,55.791,41.87
H063,28.1,62,34,66,30.608,58.387,33.263,65.162
H064,12.5,73,32,64,15.344,63.582,40.845,64.94
H065,53.33,43.52,56,45,59.596,27.256,60.29,48.06
H066,32.5,40,69.4,32,27,51,69.418,34.1
H074,10,73.5,24,70,15.311,73.349,30.149,63.106
H076,40.725,61.55,45,40,51.647,52.169,57.027,40.211
H077,10,75.5,25,63,15.503,73.494,22.515,57.149
H078,16.5,55,33,42,28.72,57.657,37.09,48.216
H079,11,70,10,75,16.812,73.246,15.242,74.775
H080,43.079,57.032,63,53,41.2,55,62.011,49.274
H081,11,67.5,17,75,22,63.5,16.699,63.918
H082,17.35,67.9,18,72,27.002,63.05,15.386,78.787
H083,46,34,76,34,58.5,39,83.594,31.927
H084,29,55,37,55,31.162,58.315,39.487,61.547
H085,35.8,52.2,41.6,56,42.13,53.13,45.787,49.339
H086,45.1,48,44,44,40.815,46.123,46.34,51.178
H087,69,29.5,73.4,39,67.026,21.258,78.153,27.533
H088,36.5,53,41,33,43.5,53,51.856,37.198
H089,52.5,40,55,39,63.425,32.48,56.456,40.977
H090,72.95,39.69,76,41,85.372,24.557,85.396,29.494
H091,19.437,63.325,20,59,21.115,60.848,24.886,61.536
H092,20.5,43.5,26,40,35.274,52.461,25.407,58.445
H093,30.3,39.5,60,35,36.431,40.556,58.805,37.174
H094,49,43.5,69,40,42.012,56.286,73.755,55.18
H095,21.3,58,35,51,24.002,59.1,39.348,48.493
H097,34.659,55.339,40,57,38.434,58.638,41.919,58.631
H098,35.5,21.5,39,28,41.1,24,49.632,26.976
H099,12.2,35.5,15,41,15.908,60.499,21.888,57.061
H100,13.25,44,16,40,19.036,55.161,24.275,55.63
H101,19,38.5,35,34,25.342,58.272,40.464,45.489
H102,25.9,40.6,17,63,32.6,42,22.163,68.938
H103,43.5,32.5,38,35,53.8,29,49.173,35.849
H104,17,61,16,74,31.2,60,17.379,72.387
H105,21.2,33.5,26,40,21.408,48.239,30.85,44.685
H106,34.4,42.5,40,33,40.217,39.122,43.401,52.515
H107,16.747,39.133,22,40,21.581,55.529,35.696,56.138
H108,66.785,39.479,84,40,72.411,34.386,87.048,31.954
H109,68.984,39.626,76.6,41,74.306,39.648,77.278,40.379
H110,29.5,43,27,60,24.746,48.899,26.75,53.477
H112,32.5,66.5,33,60,35.404,60.286,35.497,59.35
H122,15,67,15,72,23.1,69,15.086,65.357
H123,10.5,71,15,72,19.698,71.025,12.977,72.221
H124,18,73.5,24,65,16.259,74.755,30.432,63.519
H125,25.35,65.5,67.6,58,32.664,67.318,68.942,56.12
H126,22.2,50,18,61,32.24,58.16,20.11,64.415
N001,50.3,24.5,58,28,53,20.4,58.625,22.12
N002,53.65,24,68,32,55.6,20.4,67.477,24.15
N003,49.2,19.5,38,33,53.014,21.122,42.071,30.001
N004,45,18.4,50,20,48.4,15,55.081,22.96
N006,50,10,45,30,50.849,17.244,48.412,27.586
N008,49.5,13,46,22,48.1,12.8,51.61,24.458
N009,50,11,64,28,53.5,17,64.755,25.875
N010,50,16,53.2,22,52.586,10.916,55.04,22.423
N011,50,10,54.4,23,51.1,18,59.779,20.82
N013,50,15,50,23,50.4,12,53.513,21.112
N014,49,13,48,28,50.367,14.304,51.827,21.21
N015,49.9,20.3,62,29,55,20,63.13,20.775
N016,47.722,30.35,65,39,52.316,27.621,66.523,35.422
N017,56.9,25.5,66,30,66.463,19.819,69.109,24.152
N018,61.7,29.9,61,32,57.548,15.371,63.79,28.493
N019,46.4,21.5,56,30,50,18,57.252,22.349
N020,51.3,24.5,45,32,57.3,21.16,54.319,33.91
N021,44.25,30.075,42,30,45.955,31.586,50.349,43.409
N022,47.3,31.3,55,40,54.435,27.408,55.394,36.451
N023,64.3,30.4,69,33,65.084,25.611,59.055,35.19
N024,49.1,21.5,50,28,54.091,16.204,59.967,18.17
N025,44.1,32,56,43,44.3,31.46,59.991,44.32
N026,45.8,21,42,28,45,20,53.866,29.706
N027,61.5,31.5,66.6,32,61.159,26.132,67.812,28.863
N028,57.8,26.5,65,29,60.26,21.3,62.547,29.077
N030,46.3,27,49,30,48.974,21.922,50.918,28.742
N031,46.3,24.7,44,26,47.3,17.04,47.669,23.276
N032,41.2,27.5,39,29,44.6,23,47.715,36.195
N033,48.3,22.5,55,32,54,20,63.711,20.327
N034,45.6,21,51,18,49.3,19,56.524,20.869
N035,50,11,48,24,52.4,16,52.257,15.927
N036,49.5,12,46,25,55,12,52.492,22.972
N037,52,30,70,36,49.84,18.7,72.822,25.557
N038,65,33,72,35,63.686,26.744,70.895,32.799
N039,51.97,22.145,45.6,32,59.1,21.174,53.603,23.364
N040,48.7,25.8,45,28,55.086,23.164,51.944,22.022
N041,49.9,24,62,34,51,22,60.777,30.823
N042,50,15,65,38,50,11,62.271,33.244
N043,50.7,21.5,65,36,51,25,64.299,28.57
N044,49.2,22,56,41,49.8,14.4,56.958,37.338
N045,50,10,50,10,50.2,20,50.576,15.265
N046,50,11,51,20,50,14,58.757,19.247
N047,50,16,64,30,48.6,20,62.829,29.49
N061,50,12,67,34,56.923,20.196,62.166,25.74
N062,45.15,27.22,66,38,49.6,26,65.416,31.99
N064,43.9,26,41,30,52.3,26.4,44.579,30.806
N065,53,26,55,41,52.8,19,58.543,27.236
N066,51.6,40.3,60,40,55.909,29.528,60.356,32.527
N067,50,11,50,22,51,12,47.04,19.76
N068,49.8,12,47,25.6,51.2,11,53.18,22.741
N069,47.5,29,45,30,51.1,20.4,55.567,29.84
N070,50,10,70,30,51.2,10,64.348,23.973
N071,49.7,28,43,29,48.7,21,47.04,33.52
N072,50,25.8,64,32,54.75,20,59.517,23.015
N073,48.7,18,57,38,50,20,58.035,35.292
N075,33.2,37.35,41.4,47.6,42.614,34.039,48.318,36.669
N076,48.3,15,52,28,52,18,52.446,21.094
N077,55.3,25.8,67,40,63,20,66.17,32.657
N078,49.5,15,70,30,52.5,13,65.782,22.791
N079,50,24.5,66,30,54.5,20,61.151,25.435
N080,49.8,14.7,66,29,50,18,57.535,21.241
N081,50.4,32,58,36,51,30,55.067,35.896
N082,59.5,30.5,65,40,59.5,29.14,60.682,32.699
N083,50,10,53,30,50,10,54.42,30.997
N085,49,22,60,32,51.2,21,59.898,39.191
N086,54.2,37,67.6,32,60.168,26.498,67.189,33.339
N087,40.7,32,39,36,42.632,36.256,45.5,37.086
N088,50,23.5,71,30,55.6,21.8,75.547,27.01
N089,50,14,70,29,55.7,15,62.697,22.612
N090,65.212,33.579,72.6,39.2,62.835,24.911,73.701,33.578
N091,50,12,64,30,50.4,18,64.397,19.878
N092,50,12,50,30,50.7,14,53.721,30.458
N093,53,31.5,72,30,52.643,29.317,71.402,27.06
N094,49.5,11,50,18,51.7,18.4,52.207,15.442
N095,50,15,54.2,26,55,15,55.483,17.21
N096,50,12,51,28,52,20,52,19.975
N097,64.75,30.8,72,38,67.441,23.484,72.121,28.809
N098,47.9,22.5,59,24,50.4,22,54.549,20.589
N099,50,23,65,30,49.5,22,68.493,26.118
N100,50,12,54,26,50,13,57.819,21.604
N101,43.9,24.5,49.6,29.5,47.6,21,50.897,19.377
N102,47.8,17.8,45,30,47.1,22.2,48.357,31.03
N104,44.5,30.8,49.6,31,48.9,24.8,59.162,28.502
N105,50.1,27.5,68.6,40,49.7,22,63.048,34.508
N106,49.8,10,50,12,50,10,52.4,20
N107,40.7,27.5,43,30,43.04,21.82,47.038,36.716
N108,54.2,22.5,72,30,57.46,20.1,73.027,23.141
N109,45.3,23.5,33,30,48.8,18,43.119,27.994
N111,56.9,25.8,66.6,31,57.4,20,63.44,22.855
P001,74.075,37.65,85,40,82.112,20.83,82.87,31.194
P003,79.347,32.775,86,61,93.402,24.473,90.651,43.623
P004,85,20.5,91,25,89.195,15.36,93.913,13.546
P005,85,27.5,95,28,89.89,18.148,92.261,23.294
P006,80.5,28.5,88,30,86,20,92.903,19.366
P007,83,22.5,87,25,88.592,17.243,88.515,22.886
P008,82.88,35.86,87,53,92.6,25,92.83,41.507
P009,78,27.5,86,30,84.5,22,95.32,14.437
P010,84.673,35.405,85,40,85.9,24.86,94.137,22.064
P011,79.142,58.533,86,46,86.5,36,93.113,30.359
P012,82.335,34.857,85,38,87.586,19.255,82.463,31.62
P013,79.207,39.672,85,38,90.8,24.8,90.9,29.303
P014,79.52,41.463,85,40,87.4,27.7,84.81,35.026
P015,70.215,38.878,78,34,85.147,28.356,82.324,35.993
P016,63.95,31.35,70.1,40.02,65.2,25,70.735,33.061
P017,71.7,30.9,85,35,84,24,87.573,23.028
P018,83.825,30.85,85,36,92.3,27.62,94.812,24.506
P020,79.6,30.335,85,30,85.16,19.04,80.076,26.126
P021,83.591,32.494,85,38,91.055,23.292,89.523,24.195
P022,79.234,43.178,83,44,86.7,29.04,78.133,35.517
P023,69.05,33.33,71,38,79.702,23.651,69.988,28.489
P024,73.95,37.45,74.4,39.6,87.74,27.54,82.963,26.198
P025,83.78,30.02,87,38,84.805,21.188,89.446,24.556
P026,75.828,31.888,77.6,32,84.781,25.841,74.228,27.855
P027,69.1,35.42,71.8,36.6,83.2,24.02,72.962,21.972
P028,79.595,39.435,85,40,87.7,27,93.751,26.549
P029,72.237,43.006,73.191,40.486,83.4,25.8,78.849,39.507
P030,77.25,34.8,85,30,82.493,25.627,90.672,25.899
P031,85,33.5,83,36,90.1,20,91.763,15.986
P033,76.45,33.4,85,40,85.353,29.3,88.422,23.311
P034,73.25,39,73,40,83.864,30.286,83.019,35.348
P035,81.604,39.042,85,40,84.32,30.04,89.13,42.915
P036,82.667,27.832,85,30,93.4,19,93.735,21.534
P037,84.512,39.019,87,45,92.1,29.8,92.509,30.202
P038,72.9,34.68,85,36,85.6,31,88.819,34.184
P039,85,33.5,88,29,91.48,26.12,88.273,30.183
P040,62,36,65,40,64.79,28.56,70.377,30.041
P041,84,35,89,40,91,25.15,93.682,26.898
P042,83.769,36.005,85,33,89.1,20.8,95.909,24.875
P043,81.5,41.5,90,39,93.7,30,96.1,35.129
P044,68.75,30.98,84,38,69.849,24.722,92.319,28.352
P045,71.535,30.979,83,38,83.876,25.735,91.186,35.716
P046,70.5,28.735,70,32,72.611,28.336,81.098,32.866
P047,73.237,30.774,82,40,85.769,23.601,78.815,34.358
P048,71.45,31.2,74,40,77.73,21.769,81.582,38.398
P049,71.9,31.3,84,40,84.8,24,80.805,33.878
P050,73.657,59.043,85,40,83.459,38.752,84.696,35.217
P052,69.4,27.5,70.6,36,66.064,21.316,83.687,34.919
P053,71.2,30,70,36,74.1,23,83.709,29.294
P054,72.25,29.5,88,40,84.146,26.523,91.995,34.165
P055,79.422,28.552,85.25,40,85.406,22.033,89.617,37.937
P056,70,30,76,29,71.537,24.88,76.773,27.317
P057,74.496,29.489,75,30,82.83,20.82,83.202,25.833
P058,73.535,31.294,85,34,87.225,25.235,92.384,29.552
P060,70.7,29,81,30,72.45,28.077,83.117,33.535
P061,74.785,29.827,85,40,78.924,23.311,91.849,25.307
P062,74.395,35.645,84,41,85.349,27.276,85.762,34.419
P063,75.55,26.8,83,29,85.255,21.55,89.266,21.447
P064,82.4,30.7,88,30,91.9,20,93.616,23.036
P065,72.95,30.8,85,30,77.109,28.113,87.656,25.547
P066,80.985,35.956,91,34,92.376,26.167,88.823,24.041
P067,77.045,28.835,87,30,82.7,22.2,92.605,19.049
P069,70.15,28.97,75,34,68.075,23.83,78.302,25.556
P070,78.145,35.312,85,56,86.951,30.728,84.936,60.168
P071,81.8,32,85,30,85.842,24.781,92.425,23.065
P072,84.8,29,87.6,34,91.86,16.68,92.889,25.525
P073,73.335,37.616,74,30,81.345,27.342,85.634,29.395
P074,84.186,27.131,87,30,85.562,19.11,95.444,19.751
P075,71.75,29,67.6,40,85.356,22.424,70.884,28.775
P076,75.13,36.968,83,30,81.28,24.5,75.406,32.724
P077,83.782,39.576,85,40,84.59,22.772,86.932,35.828
P078,84.837,30.921,86,30,85.157,28,91.392,17.64
P079,75.2,32.97,76,32,85.578,23.482,77.721,28.873
P080,81.333,35.631,80,40,94.202,22.317,84.526,39.668
P081,78.085,31.918,85,30,85.868,23.803,84.594,23.652
P082,78.77,30.433,85,30,88.1,24.1,78,31.322
P083,73.93,37.85,70,40,85.427,38.302,71.523,38.618
P084,74.5,29.5,87,30,84.952,19.676,92.463,22.967
P085,71,31,66.6,30,75.681,25.223,65.433,28.635
P086,74.55,29.94,87,34,84.7,23.9,89.17,33.607
P087,70.55,36,79,40,72.204,31.252,88.831,30.415
P088,71.1,35,81,47,79.978,26.029,86.396,51.856
P089,71.575,30.28,83,30,84.5,25,84.322,28.947
P090,65.5,39.5,74,40,68.664,31.97,73.153,35.677
P091,84.45,29.525,89,36,89.513,21.54,92.483,29.244
P092,74.28,33.86,85,39,82.7,29.6,87.522,35.732
P093,74.25,30.9,85,31,86,25,84.7,25.826
P094,69.4,29,74,30,70.9,23.6,83.415,25.147
P095,75.23,36.199,75,40,84.2,24.14,82.69,28.398
P096,82.461,35.647,84,38,85.341,24.13,88.138,33.889
P097,70.2,76.5,73,74,75.447,65.635,71.95,75.147
P098,66,40,61,41,67.29,30.044,64.775,46.389
P099,78.645,32.922,85,40,80.068,23.855,86.294,29.159
P100,61.5,47,65,44,66.654,40.177,70.73,43.45
P101,72.113,29.727,78,30,85.213,23.563,72.321,24.412
P102,71.335,37.25,77,41,74.353,27.798,78.15,29.752
P103,71,30,83,30,85.125,20,77.669,25.982
P104,70.25,33.3,77,40,74.786,22.299,84.388,30.967
P105,70.183,65.663,72,66,72.9,64.2,82.482,71.068
P106,80.4,32.72,85,38,88.3,25.02,87.706,33.861
P107,75.95,30.3,85,40,85.2,20,86.097,31.308
P108,77.042,29.469,85,30,84.953,24.102,90.422,28.184
P109,69,28,67,34,70.818,23.959,72.464,38.117
P110,80.988,37.508,85,40,83.75,32.5,89.751,42.334
P111,70,36,80,40,85.1,32,82.404,34
P112,62.1,30,65,30,65.504,31.518,71.707,29.018
P113,71.967,32.311,72.95,39.8,82.46,24.001,79.302,32.466
P114,84.535,41.525,86,40,88.04,23.968,88.403,33.695
P116,73.519,28.895,75,30,87.49,17.858,80.393,21.962
P117,78.8,28.96,85,36,88.1,20,91.91,19.982
P118,76.9,32.7,85,36,87.54,26.94,89.492,27.543
P119,70.5,30,77,38,70.951,25.174,85.171,35.041
P121,73.35,30.8,83,33,81.369,22.212,83.593,35.436
P122,73.431,32.222,85,30,85.326,25.029,86.839,20.394
P123,79.162,29.704,85,36,88.2,22,94.254,24.791
P124,71.2,64,65,72,74.399,52.533,77.766,62.432
P125,72.734,30.579,85,40,80.593,28.939,91.074,39.068
P127,76.44,30.896,85,34,90.4,23.86,88.639,24.243
P128,82.9,30.43,87,40,85.395,22.406,84.305,30.848
P129,72.934,59.876,73.6,57,81.6,37,79.071,44.634
P130,71.843,33.957,81,40,72.085,28.446,88.233,34.594
Sn001,30.5,68.5,38,56,36.314,60.379,46.818,53.339
Sn002,34,63.5,35,62,37.898,63.242,40.324,55.077
Sn003,41.5,60.5,43,61,42.1,60.14,37.895,58.436
Sn004,30.5,67,29,70,29.431,65.386,37.403,62.637
Sn005,29.5,66.5,33,66,25,64,28.199,68.037
Sn006,37.5,60,37,64,34.426,58.307,41.895,62.626
Sn007,33.5,60.5,39,61,35.26,63.143,41.781,61.207
Sn008,35,65,39,60,38.833,63.269,36.314,62.063
Sn009,28.7,71.7,31,71,26.755,69.745,40.6,63.878
Sn010,34.5,67,34,69,33.832,65.461,39.957,69.982
Sn011,33.5,65,34,65,33.378,64.48,44.694,59.874
Sn012,36.5,61,39,65,39.666,60.766,42.204,67.064
Sn013,34.5,61.5,37,60,32.1,64,37.044,51.974
Sn014,36.5,62,40,61,37,59.838,44.924,53.706
Sn015,44,53.5,38,46,40,52,44.083,46.477
Sn016,38.5,63.5,36,61,42.94,62.57,46.932,56.372
Sn017,38.5,61.5,41,58,45.8,57.04,38.458,47.842
Sn018,32,62.5,34,61,37.1,60.15,34.858,54.603
Sn019,51,64.5,55,58,68.6,46.65,40.28,55.357
Sn020,29.5,68,34,60,33,64,47.793,39.484
Sn021,37.5,61.5,43,45,44.202,57.907,45.998,43.512
Sn022,33.5,60.5,41,59,37.194,57.05,43.811,44.77
Sn023,32,61.5,40,60,23.218,63.068,40.018,57.786
Sn024,32.5,63.5,29,69,34.156,67.156,37.34,64.493
Sn025,31.5,66,31,60,33.177,60.192,32.744,60.983
